id,list_id,titre,prix,devise,ville,secteur,localisation,marque,modele,annee,kilometrage,carburant,boite_vitesses,puissance_fiscale,etat,origine,premiere_main,nombre_portes,equipements,vendeur,type_vendeur,telephone,date_publication,description,url
76667951,57247461,SKODA KAROQ Diesel Automatique 2020,250000,DH,Casablanca,Hay Moulay Rachid,"Casablanca, Hay Moulay Rachid",Skoda,Karoq,2020,123000,Diesel,Automatique,8 CV,Très bon,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",SIARACASH.MA,shop,0522918796,2026-05-24T18:29:17Z,"SIARACASH s'occupe de la vente d'une SKODA KAROQ Diesel Automatique 2020 première main bon état. La voiture est expertisée suivant 150 points de contrôles et ne présente pas d'accident ou de blocage administratif SIARACSH n'a pas de garage, la voiture est chez son propriétaire à Casablanca. Veuillez nous contacter pour plus d'informations ou pour voir le véhicule. Marque : SKODA Modèle : KAROQ Version : 2020 Carburant : Diesel Transmission : Automatique Kilométrage : 123000 Km Mise en circulation : 2020 1ère main : OUI Origine : WW au Maroc Référence : SC / ID : eLh1VqsVD0 Climatisation Climatisation automatique DVD / CD / MP3 Système de navigation / GPS Ordinateur de bord Régulateur de vitesse Limiteur de vitesse Détecteur de pluie ABS ESP Airbags Jantes aluminium Sièges électriques Toit ouvrant Toit ouvrant panoramique Radar de recul Aide au stationnement Verrouillage centralisé à distance Keyless Go Anti démarrage Direction assistée Volant réglable Commandes au volant Rétroviseurs électriques Projecteurs xénon Anti brouillard Vitres surteintées Contrôle de pression des pneus Anti patinage Frein de parking automatique Non fumeur",https://www.avito.ma/fr/hay_moulay_rachid/voitures_d_occasion/SKODA_KAROQ_Diesel_Automatique_2020_57247461.htm
77341081,57867541,BMW X1 à vendre en très bon état,230000,DH,Temara,Harhoura,"Temara, Harhoura",BMW,X1,2019,187000,Diesel,Automatique,9 CV,Très bon,WW au Maroc,Oui,5,,doghmi,private,0661991658,2026-05-24T18:31:17Z,BMW X1 à vendre en très bon état conduite par une femme. Très bonne occasion à ne pas rater.,https://www.avito.ma/fr/harhoura/voitures_d_occasion/BMW_X1_à_vendre_en_très_bon_état_57867541.htm
77437207,57956711,Mercedes-Benz 220 Diesel Automatique 2013,,,Casablanca,Ben M'sick,"Casablanca, Ben M'sick",Mercedes-Benz,220,2013,200000,Diesel,Automatique,9 CV,Excellent,Dédouanée,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Auto khalfi,shop,0669289683,2026-05-24T18:32:18Z,Je mets en vente ma voiture Mercedes C220 toute options et très bon état.,https://www.avito.ma/fr/ben_m_sick/voitures_d_occasion/Mercedes_Benz_220_Diesel_Automatique_2013_57956711.htm
77276513,57808287,Land Rover Range Rover Velar,295000,DH,Rabat,Guich Oudaya,"Rabat, Guich Oudaya",Land Rover,Range Rover Velar,2019,140000,Diesel,Automatique,8 CV,Neuf,WW au Maroc,Non,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Garage Mantaga,shop,0664208234,2026-05-24T18:32:18Z,Très bon état... Toutes options... Reprise acceptée,https://www.avito.ma/fr/guich_oudaya/voitures_d_occasion/Land_Rover_Range_Rover_Velar_57808287.htm
76285213,56910867,Skoda Karoq Didoun 2025,,,Agadir,Autre secteur,"Agadir, Autre secteur",Skoda,Karoq,2021,208000,Diesel,Automatique,8 CV,Très bon,Dédouanée,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",FADISSA AUTO,shop,0606224130,2026-05-24T18:32:21Z,Skoda Karoq Diesel Automatique Modèle 2021 Didoun 2025 208000 KLM La voiture jamais accidentée peinture originale,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Skoda_Karoq_Didoun_2025_56910867.htm
76822001,57384449,Peugeot 2008 Diesel Automatique 2025 à Salé,,,Salé,Sala El Jadida,"Salé, Sala El Jadida",Peugeot,2008,2025,23000,Diesel,Automatique,6 CV,Excellent,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",auto rizk,shop,0670662833,2026-05-24T18:26:38Z,Peugeot 2008 automatique Diesel ⛽️ Première main Doubles toit panoramique Entretien à la maison PEINTURE D'ORIGINE Démarrage star.stop Clé main JWANTE ALUMINIUM Leretrevisseur rabattable RÉGULATEUR ET LIMITEURS DE VITESSE LA CLIM AUTOMATIQUE RADAR DE RECUL COMMANDE VOLANT ET MULTIFONCTION TOUTES OPTIONS,https://www.avito.ma/fr/sala_el_jadida/voitures_d_occasion/Peugeot_2008_Diesel_Automatique_2025_à_Salé_57384449.htm
77336773,57863553,JEEP GLADIATOR MOJAVE,1000000,DH,Casablanca,Californie,"Casablanca, Californie",Jeep,Wrangler,2024,11000,Essence,Automatique,21 CV,Très bon,Importée neuve,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, ESP, Jantes aluminium, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Gotha Motors,shop,0665170968,2026-05-24T18:25:31Z,GOTHA MOTORS METS EN VENTE JEEP GLADIATOR Importé neuf pour plus d informations contactez nous MERCI,https://www.avito.ma/fr/californie/voitures_d_occasion/JEEP_GLADIATOR_MOJAVE_57863553.htm
77383922,57907171,Mercedes GLC 300 DE AMG LINE dédouanée 2026,590000,DH,Fès,Agdal,"Fès, Agdal",Mercedes-Benz,Classe GLC,2022,129000,Diesel,Automatique,8 CV,Excellent,Dédouanée,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Jaouad,private,0700755333,2026-05-24T18:29:05Z,Je vends cette Mercedes GLC 300 DE AMG LINE en excellent état. -1er main -aucune vignette anuelle exonération - Kilométrage : 129 000 km - Année modèle : 2022 - Carburant : Diesel hybride rechargeable - Boîte de vitesses : Automatique - Dédouanée - Première main - Jantes aluminium - Airbags - Climatisation - Système de navigation GPS - Toit ouvrant -keleys go -ouverture des porte san clefs -gps -camera 360 -detecteur angle mort -Dystronique -atelage remorque -coffre électrique -cokipit numériques - Sièges en cuir - Régulateur et limiteur de vitesse - ESP ABS - Vitres électriques - Caméra et radar de recul - Lecteur CD MP3 Bluetooth - Ordinateur de bord - Verrouillage centralisé à distance Contactez-moi pour plus d'informations.,https://www.avito.ma/fr/agdal/voitures_d_occasion/Mercedes_GLC_300_DE_AMG_LINE_dédouanée_2026_57907171.htm
77386772,57909873,Audi Q8 KM64.000,595000,DH,Casablanca,Californie,"Casablanca, Californie",Audi,Q8,2020,63000,Diesel,Automatique,12 CV,Très bon,WW au Maroc,Oui,5,,Particulier,private,0661076801,2026-05-24T18:29:17Z,Audi Q8 exclusive première main Ww Maroc tous les services ont été effectué à la maison Audi,https://www.avito.ma/fr/californie/voitures_d_occasion/Audi_Q8_KM64_000_57909873.htm
77414867,57935870,Mégane excellent état 1ère main,223000,DH,Casablanca,Autre secteur,"Casablanca, Autre secteur",Renault,Megane,2023,99000,Diesel,Manuelle,6 CV,Excellent,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",issam,private,0661212638,2026-05-24T18:29:50Z,"Renault Mégane, excellent état 1ère main. Principalement autoroute, 100.000km. Entretien chez le concessionnaire. Prix légèrement négociable.",https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Mégane_excellent_état_1ère_main_57935870.htm
77430481,57950449,Dacia Logan 1er main sans ad bleu neuve,137000,DH,Casablanca,2 Mars,"Casablanca, 2 Mars",Dacia,Logan,2024,70000,Diesel,Manuelle,6 CV,Excellent,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Auto Simo,shop,0661571804,2026-05-24T18:30:00Z,"Je mets en vente une superbe Dacia Logan première main, en excellent état. Sans ad bleu Mod 12/2023 - Kilométrage : 70 000 km - Motorisation : Diesel - Boîte de vitesses : Manuelle - Puissance fiscale : 6 CV - Origine : WW au Maroc - Première main : Oui Semi équipé - Airbags - Climatisation - Système de navigation GPS - Radar de recul - Caméra de recul - Vitres électriques - ABS - ESP - Régulateur de vitesse - Limiteur de vitesse - CD MP3 Bluetooth - Ordinateur de bord - Verrouillage centralisé - 5 portes Contactez-moi pour plus d'informations.",https://www.avito.ma/fr/2_mars/voitures_d_occasion/Dacia_Logan_1er_main_sans_ad_bleu_neuve_57950449.htm
77240054,57774625,Volkswagen Touareg. Très bon,,,Agadir,Autre secteur,"Agadir, Autre secteur",Volkswagen,Touareg,2018,240000,Diesel,Automatique,12 CV,Très bon,WW au Maroc,Non,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",FADISSA AUTO,shop,0606224130,2026-05-24T18:29:29Z,"Touareg WW Maroc très bon Bon prix ,",https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Volkswagen_Touareg__Très_bon_57774625.htm
77449664,57967634,DUSTER AUTOMATIQUE 2021 TOUTE OPTION,185000,DH,Fès,Centre,"Fès, Centre",Dacia,Duster,2021,100000,Diesel,Automatique,6 CV,Neuf,WW au Maroc,,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",particulier,private,0630601482,2026-05-24T18:30:01Z,DUSTER JOURNEY AUTOMATIQUE 2021 TOUTE OPTION NEJVE,https://www.avito.ma/fr/centre/voitures_d_occasion/DUSTER_AUTOMATIQUE_2021_TOUTE_OPTION_57967634.htm
77290916,57821491,Mercedes-Benz Classe E Diesel Automatique 2026,820000,DH,Marrakech,Autre secteur,"Marrakech, Autre secteur",Mercedes-Benz,Classe E,2026,2500,Diesel,Automatique,8 CV,Excellent,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Saaid,private,0664650309,2026-05-24T18:28:56Z,"Mercedes-Benz Classe E 220d : L'Expérience Sensorielle Ultime (4D & Hyperscreen) État : Neuf (Plaque W) | Kilométrage : 2 500 km | Configuration : Exclusive sur-mesure L’Apogée du Luxe et de l’Innovation Saisissez l'opportunité unique d'acquérir une Mercedes E 220 d d’exception. Plus qu'une voiture, c'est un salon de luxe technologique, doté d'options extrêmement rares qui redéfinissent le voyage. Les Points Forts de cette Configuration Unique : • Immersion Sonore 4D : Équipée du système audio Burmester® High-End 4D. Le son ne s'écoute pas, il se ressent : des résonateurs intégrés aux sièges traduisent les fréquences en vibrations pour une immersion totale. • Hyperscreen & Réalité Augmentée : L'habitacle est dominé par trois écrans haute définition fusionnés. Le GPS intelligent utilise la caméra en réalité augmentée pour superposer les directions sur la route en temps réel. • Intelligence de Conduite (Distronic Plus) : Pack complet incluant le régulateur adaptatif, le maintien de voie actif et le guidage assisté pour une conduite quasi-autonome et sécurisée. • Écrin de Lumière : Triple toit panoramique inondant l'habitacle de lumière, complété par un éclairage d’ambiance personnalisable. • Confort Personnalisé : Sièges en cuir à mémoire de forme réglables électriquement, offrant un maintien et une ergonomie de premier ordre. Caractéristiques Principales : • Plaque W (Première immatriculation à votre nom). • Radars 360°, limiteur adaptatif, et toutes les aides à la conduite de dernière génération. • État strictement neuf, aucune rayure, intérieur impeccable.",https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Mercedes_Benz_Classe_E_Diesel_Automatique_2026_57821491.htm
71162502,53032493,Volkswagen Coccinelle 2.0 Tdi Diesel 1ère main,185000,DH,Fès,Route d'Immouzere,"Fès, Route d'Immouzere",Volkswagen,Coccinelle,2018,141000,Diesel,Automatique,8 CV,Neuf,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Hadj,private,0613548755,2026-05-24T18:29:39Z,Volkswagen Coccinelle 2.0 Tdi Diesel 1ère main peinture originale fin 2017 (141000 kms ) Vitesse automatique - toit ouvrant panoramique - sièges cuir chauffants - palette au volant - caméra de recul - distronic avant arrière - démarrage star - keyless go … etc,https://www.avito.ma/fr/route_d_immouzere/voitures_d_occasion/Volkswagen_Coccinelle_2_0_Tdi_Diesel_1ère_main_53032493.htm
77180520,57719302,Land Rover Range Rover Evoque Diesel Automatique,,,Marrakech,Centre Ville,"Marrakech, Centre Ville",Land Rover,Range Rover Evoque,2020,124000,Diesel,Automatique,8 CV,Excellent,WW au Maroc,,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",NMR GENERAL,shop,0603287740,2026-05-24T18:27:41Z,Land Rover Range Rover Evoque,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Land_Rover_Range_Rover_Evoque_Diesel_Automatique_57719302.htm
77399893,57921941,L200 4/4 2021,223000,DH,Fès,Route Ain Chkaf,"Fès, Route Ain Chkaf",Mitsubishi,L200,2021,114000,Diesel,Manuelle,10 CV,Neuf,WW au Maroc,Non,5,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",yassine,shop,0661398878,2026-05-24T18:27:18Z,"Je mets en vente ce pickup L200 Double cabine en excellent état, peinture d’origine 5 Pneus neufs 2 clés Vignette 650",https://www.avito.ma/fr/route_ain_chkaf/voitures_d_occasion/L200_4_4_2021_57921941.htm
76012622,56668500,Mini Countryman SD,240000,DH,Casablanca,Anfa,"Casablanca, Anfa",Mini,Countryman,2017,92000,Diesel,Automatique,8 CV,Excellent,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Corniche auto,shop,0663046760,2026-05-24T18:26:38Z,"Très bon état, suivi régulier, bien entretenu, toutes options...",https://www.avito.ma/fr/anfa/voitures_d_occasion/Mini_Countryman_SD_56668500.htm
76879662,57437668,BMW Série 1 Diesel Automatique 2018 à Marrakech,,,Marrakech,Centre Ville,"Marrakech, Centre Ville",BMW,Série 1,2018,169000,Diesel,Automatique,8 CV,Excellent,Dédouanée,,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",NMR GENERAL,shop,0603287740,2026-05-24T18:26:59Z,BMW Série 1,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/BMW_Série_1_Diesel_Automatique_2018_à_Marrakech_57437668.htm
77240136,57774718,NISSAN QASHQAI MANUEL,,,Agadir,Autre secteur,"Agadir, Autre secteur",Nissan,Qashqai,2013,183000,Diesel,Manuelle,6 CV,Très bon,WW au Maroc,Non,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Vitres électriques",FADISSA AUTO,shop,0606224130,2026-05-24T18:26:48Z,Nissan Qashqai modèle 2013 roulé 183000km la voiture jamais accidenté,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/NISSAN_QASHQAI_MANUEL_57774718.htm
76289384,56914616,Dacia Lodgy Modèle 2022 Stepway,,,Agadir,Tassila,"Agadir, Tassila",Dacia,Lodgy,2022,120000,Diesel,Manuelle,6 CV,Neuf,Dédouanée,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Taha auto,shop,0661676751,2026-05-24T18:24:59Z,Voiture bon état Dacia Lodgy Modèle 2022 dédouanée 2026 Stepway 120000km,https://www.avito.ma/fr/tassila/voitures_d_occasion/Dacia_Lodgy_Modèle_2022_Stepway_56914616.htm
